Id_muestreo,Id_muestreo_no_dc,Fecha,Pc_start,Species_ayerbe,Count
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Myiozetetes cayanensis,2
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Tyrannus melancholicus,2
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Thraupis episcopus,2
C-MB-B-LES_01,MB-B-LES_01,2017-04-07,10:00:00,Turdus fuscater,2
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Mimus gilvus,4
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Tyrannus melancholicus,4
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Thraupis episcopus,2
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Troglodytes aedon,2
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Zonotrichia capensis,2
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Egretta thula,2
C-MB-B-LES_02,MB-B-LES_02,2017-04-07,10:29:00,Columbina talpacoti,2
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Bubulcus ibis,2
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Columbina talpacoti,2
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Mimus gilvus,2
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Thraupis episcopus,2
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Zonotrichia capensis,4
C-MB-B-LES_03,MB-B-LES_03,2017-04-07,05:50:00,Troglodytes aedon,2
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Elanus leucurus,2
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Bubulcus ibis,2
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Zenaida auriculata,4
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Egretta thula,2
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Setophaga fusca,2
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Thraupis episcopus,2
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Troglodytes aedon,2
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Turdus fuscater,4
C-MB-B-LES_04,MB-B-LES_04,2017-04-07,06:10:00,Tyrannus melancholicus,2
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Turdus fuscater,4
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Zenaida auriculata,6
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Setophaga ruticilla,2
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Zonotrichia capensis,4
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Tyrannus melancholicus,2
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Setophaga fusca,2
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Machetornis rixosa,2
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Phyllomyias nigrocapillus,2
C-MB-B-LEST_01,MB-B-LEST_01,2017-04-07,06:32:00,Anisognathus igniventris,4
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Phyllomyias nigrocapillus,4
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Coragyps atratus,10
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Zonotrichia capensis,6
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Zenaida auriculata,2
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Troglodytes aedon,4
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Pyrocephalus rubinus,6
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Machetornis rixosa,2
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Tyrannus melancholicus,6
C-MB-B-LEST_02,MB-B-LEST_02,2017-04-07,07:00:00,Turdus fuscater,6
C-MB-B-LEST_03,MB-B-LEST_03,2017-04-07,09:41:00,Turdus fuscater,4
C-MB-B-LEST_03,MB-B-LEST_03,2017-04-07,09:41:00,Phyllomyias nigrocapillus,2
C-MB-B-LEST_03,MB-B-LEST_03,2017-04-07,09:41:00,Zonotrichia capensis,4
C-MB-B-LEST_03,MB-B-LEST_03,2017-04-07,09:41:00,Coragyps atratus,2
C-MB-B-LEST_04,MB-B-LEST_04,2017-04-07,09:51:00,Zenaida auriculata,2
C-MB-B-LEST_04,MB-B-LEST_04,2017-04-07,09:51:00,Turdus fuscater,4
C-MB-B-LEST_04,MB-B-LEST_04,2017-04-07,09:51:00,Zonotrichia capensis,4
C-MB-B-LM_01,MB-B-LM_01,2017-08-08,07:15:00,Zonotrichia capensis,1
C-MB-B-LM_01,MB-B-LM_01,2017-08-08,07:15:00,Zenaida auriculata,2
C-MB-B-LM_01,MB-B-LM_01,2017-08-08,07:15:00,Turdus fuscater,2
C-MB-B-LM_02,MB-B-LM_02,2017-08-08,06:19:00,Turdus fuscater,1
C-MB-B-LM_02,MB-B-LM_02,2017-08-08,06:19:00,Sturnella magna,2
C-MB-B-LM_02,MB-B-LM_02,2017-08-08,06:19:00,Zenaida auriculata,2
C-MB-B-LM_03,MB-B-LM_03,2017-08-08,09:07:00,Catamenia analis,1
C-MB-B-LM_03,MB-B-LM_03,2017-08-08,09:07:00,Zonotrichia capensis,2
C-MB-B-LM_03,MB-B-LM_03,2017-08-08,09:07:00,Spinus psaltria,4
C-MB-B-LM_03,MB-B-LM_03,2017-08-08,09:07:00,Troglodytes aedon,1
C-MB-B-LM_03,MB-B-LM_03,2017-08-08,09:07:00,Zenaida auriculata,1
C-MB-B-LM_04,MB-B-LM_04,2017-08-08,09:52:00,Zenaida auriculata,5
C-MB-B-LM_04,MB-B-LM_04,2017-08-08,09:52:00,Falco sparverius,1
C-MB-B-LM_04,MB-B-LM_04,2017-08-08,09:52:00,Tyrannus melancholicus,2
C-MB-B-LP_01,MB-B-LP_01,2017-08-09,06:47:00,Zonotrichia capensis,1
C-MB-B-LP_01,MB-B-LP_01,2017-08-09,06:47:00,Turdus fuscater,1
C-MB-B-LP_02,MB-B-LP_02,2017-08-09,07:21:00,Turdus fuscater,1
C-MB-B-LP_03,MB-B-LP_03,2017-08-09,08:15:00,Crotophaga ani,1
C-MB-B-LP_03,MB-B-LP_03,2017-08-09,08:15:00,Turdus fuscater,1
C-MB-B-LP_03,MB-B-LP_03,2017-08-09,08:15:00,Zonotrichia capensis,2
C-MB-B-LP_03,MB-B-LP_03,2017-08-09,08:15:00,Pheucticus aureoventris,1
C-MB-B-LP_03,MB-B-LP_03,2017-08-09,08:15:00,Sturnella magna,1
C-MB-B-LP_03,MB-B-LP_03,2017-08-09,08:15:00,Patagioenas fasciata,1
C-MB-B-LP_04,MB-B-LP_04,2017-08-09,09:37:00,Sturnella magna,2
C-MB-B-LP_04,MB-B-LP_04,2017-08-09,09:37:00,Crotophaga ani,3
C-MB-B-LP_04,MB-B-LP_04,2017-08-09,09:37:00,Zenaida auriculata,1
C-MB-B-LP_04,MB-B-LP_04,2017-08-09,09:37:00,Zonotrichia capensis,1
C-MB-B-LP_04,MB-B-LP_04,2017-08-09,09:37:00,Tyrannus melancholicus,2
C-MB-B-LP_04,MB-B-LP_04,2017-08-09,09:37:00,Turdus fuscater,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Columbina talpacoti,4
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Plegadis falcinellus,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Campylorhynchus griseus,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Crotophaga sulcirostris,4
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Cathartes aura,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Troglodytes aedon,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Buteogallus meridionalis,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Volatinia jacarina,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Tyrannus dominicensis,2
C-MB-BL-EP_01,MB-BL-EP_01,2016-11-30,08:49:00,Bubulcus ibis,2
C-MB-BL-EP_02,MB-BL-EP_02,2016-11-30,08:21:00,Volatinia jacarina,2
C-MB-BL-EP_02,MB-BL-EP_02,2016-11-30,08:21:00,Cathartes burrovianus,2
C-MB-BL-EP_02,MB-BL-EP_02,2016-11-30,08:21:00,Crotophaga sulcirostris,4
C-MB-BL-EP_02,MB-BL-EP_02,2016-11-30,08:21:00,Tyrannus dominicensis,2
C-MB-BL-EP_02,MB-BL-EP_02,2016-11-30,08:21:00,Eupsittula pertinax,6
C-MB-BL-EP_02,MB-BL-EP_02,2016-11-30,08:21:00,Melanerpes rubricapillus,2
C-MB-BL-EP_03,MB-BL-EP_03,2016-11-30,07:44:00,Crotophaga sulcirostris,8
